,EMP,EMP_S,EMPSZFI,EMPSZFI_TTL,ETH_GROUP,ETH_GROUP_TTL,FIRMPDEMP,FIRMPDEMP_S,GEO_ID,GEO_TTL,GEOTYPE,MSA,NAICS2012,NAICS2012_TTL,PAYANN,PAYANN_S,RACE_GROUP,RACE_GROUP_TTL,RCPPDEMP,RCPPDEMP_S,RCPSZFI,RCPSZFI_TTL,SEX,SEX_TTL,ST,VET_GROUP,VET_GROUP_TTL,YEAR,YIBSZFI,YIBSZFI_TTL,us
11,3144473,2.3,001,All firms,001,All firms,342409,0.8,0100000US,United States,01,00000,00,Total for all sectors,107569484,1.7,00,All firms,504376870,2.7,001,All firms,004,Equally male-/female-owned,00,001,All firms,2014,322,Firms with 11 to 15 years in business,00
12,833622,4.7,001,All firms,001,All firms,17501,3.1,0100000US,United States,01,00000,00,Total for all sectors,28113319,6.9,00,All firms,168180875,7.8,001,All firms,004,Equally male-/female-owned,00,001,All firms,2014,323,Firms with 16 or more years in business,00
13,19983,16.8,001,All firms,001,All firms,3152,9.6,0100000US,United States,01,00000,00,Total for all sectors,607630,40.7,00,All firms,2497718,30.5,001,All firms,004,Equally male-/female-owned,00,002,Veteran-owned,2014,001,All firms,00
14,821999,3.9,001,All firms,001,All firms,115198,1.7,0100000US,United States,01,00000,00,Total for all sectors,24656681,4.2,00,All firms,118300580,4.0,001,All firms,004,Equally male-/female-owned,00,003,Equally veteran-/nonveteran-owned,2014,001,All firms,00
15,5854468,1.6,001,All firms,001,All firms,656055,0.5,0100000US,United States,01,00000,00,Total for all sectors,180184707,1.7,00,All firms,870279272,2.1,001,All firms,004,Equally male-/female-owned,00,004,Nonveteran-owned,2014,001,All firms,00
16,315912,6.6,001,All firms,020,Hispanic,34394,2.8,0100000US,United States,01,00000,00,Total for all sectors,7429183,8.5,00,All firms,34292021,6.6,001,All firms,004,Equally male-/female-owned,00,001,All firms,2014,001,All firms,00
17,254447,4.8,001,All firms,028,Equally Hispanic/non-Hispanic,33427,4.1,0100000US,United States,01,00000,00,Total for all sectors,7390416,5.4,00,All firms,30228622,2.9,001,All firms,004,Equally male-/female-owned,00,001,All firms,2014,001,All firms,00
18,6126091,1.7,001,All firms,029,Non-Hispanic,706584,0.5,0100000US,United States,01,00000,00,Total for all sectors,190629419,1.9,00,All firms,926556926,2.2,001,All firms,004,Equally male-/female-owned,00,001,All firms,2014,001,All firms,00
19,19177,17.7,001,All firms,001,All firms,14085,3.6,0100000US,United States,01,00000,00,Total for all sectors,421318,36.7,00,All firms,69116,4.8,510,"Firms with sales/receipts of less than $10,000",004,Equally male-/female-owned,00,001,All firms,2014,001,All firms,00
20,63120,4.8,001,All firms,001,All firms,54306,2.3,0100000US,United States,01,00000,00,Total for all sectors,665691,15.7,00,All firms,1595109,2.2,520,"Firms with sales/receipts of $10,000 to $49,999",004,Equally male-/female-owned,00,001,All firms,2014,001,All firms,00
21,121194,2.6,001,All firms,001,All firms,72423,2.3,0100000US,United States,01,00000,00,Total for all sectors,1578601,8.8,00,All firms,5361848,2.3,522,"Firms with sales/receipts of $50,000 to $99,999",004,Equally male-/female-owned,00,001,All firms,2014,001,All firms,00
22,410993,2.0,001,All firms,001,All firms,167436,1.1,0100000US,United States,01,00000,00,Total for all sectors,7374435,1.8,00,All firms,28238732,1.2,523,"Firms with sales/receipts of $100,000 to $249,999",004,Equally male-/female-owned,00,001,All firms,2014,001,All firms,00
23,699613,2.1,001,All firms,001,All firms,158634,1.4,0100000US,United States,01,00000,00,Total for all sectors,14927305,2.1,00,All firms,57285671,1.5,525,"Firms with sales/receipts of $250,000 to $499,999",004,Equally male-/female-owned,00,001,All firms,2014,001,All firms,00
24,997093,2.0,001,All firms,001,All firms,132885,1.6,0100000US,United States,01,00000,00,Total for all sectors,24530387,1.9,00,All firms,94195158,1.6,531,"Firms with sales/receipts of $500,000 to $999,999",004,Equally male-/female-owned,00,001,All firms,2014,001,All firms,00
25,4385259,2.3,001,All firms,001,All firms,174636,1.1,0100000US,United States,01,00000,00,Total for all sectors,155951280,2.2,00,All firms,804331935,2.5,532,"Firms with sales/receipts of $1,000,000 or more",004,Equally male-/female-owned,00,001,All firms,2014,001,All firms,00
26,0,0.0,611,Firms with no employees,001,All firms,79850,1.6,0100000US,United States,01,00000,00,Total for all sectors,2950407,6.6,00,All firms,22932237,6.1,001,All firms,004,Equally male-/female-owned,00,001,All firms,2014,001,All firms,00
27,819768,0.8,612,Firms with 1 to 4 employees,001,All firms,392645,0.7,0100000US,United States,01,00000,00,Total for all sectors,24589029,1.6,00,All firms,147297007,2.4,001,All firms,004,Equally male-/female-owned,00,001,All firms,2014,001,All firms,00
28,964323,1.2,620,Firms with 5 to 9 employees,001,All firms,147179,1.2,0100000US,United States,01,00000,00,Total for all sectors,28508190,0.9,00,All firms,139224827,1.7,001,All firms,004,Equally male-/female-owned,00,001,All firms,2014,001,All firms,00
29,115129295,0.3,001,All firms,001,All firms,5437782,0.0,0100000US,United States,01,00000,00,Total for all sectors,5640982990,0.3,00,All firms,33036935112,0.5,001,All firms,001,All firms,00,001,All firms,2014,001,All firms,00
30,2502804,2.2,001,All firms,001,All firms,481981,0.2,0100000US,United States,01,00000,00,Total for all sectors,79672475,4.5,00,All firms,438363205,13.5,001,All firms,001,All firms,00,001,All firms,2014,311,Firms with less than 2 years in business,00
31,4706232,1.1,001,All firms,001,All firms,723679,0.1,0100000US,United States,01,00000,00,Total for all sectors,148104712,1.8,00,All firms,653332548,1.4,001,All firms,001,All firms,00,001,All firms,2014,318,Firms with 2 to 3 years in business,00
32,4047020,1.0,001,All firms,001,All firms,519712,0.3,0100000US,United States,01,00000,00,Total for all sectors,138550950,1.5,00,All firms,567215636,1.5,001,All firms,001,All firms,00,001,All firms,2014,319,Firms with 4 to 5 years in business,00
33,9895155,1.1,001,All firms,001,All firms,1146177,0.1,0100000US,United States,01,00000,00,Total for all sectors,382833423,1.4,00,All firms,1645418339,1.3,001,All firms,001,All firms,00,001,All firms,2014,321,Firms with 6 to 10 years in business,00
34,32050987,0.9,001,All firms,001,All firms,2398315,0.1,0100000US,United States,01,00000,00,Total for all sectors,1437205886,0.9,00,All firms,6609302447,0.7,001,All firms,001,All firms,00,001,All firms,2014,322,Firms with 11 to 15 years in business,00
35,61927096,0.5,001,All firms,001,All firms,167917,1.4,0100000US,United States,01,00000,00,Total for all sectors,3454615545,0.6,00,All firms,23123302938,0.7,001,All firms,001,All firms,00,001,All firms,2014,323,Firms with 16 or more years in business,00
36,4414346,2.3,001,All firms,001,All firms,405235,0.6,0100000US,United States,01,00000,00,Total for all sectors,186872580,4.7,00,All firms,924067944,4.6,001,All firms,001,All firms,00,002,Veteran-owned,2014,001,All firms,00
37,117007,11.2,001,All firms,001,All firms,27631,3.6,0100000US,United States,01,00000,00,Total for all sectors,3545035,8.3,00,All firms,15201876,7.2,001,All firms,001,All firms,00,002,Veteran-owned,2014,311,Firms with less than 2 years in business,00
38,243498,7.3,001,All firms,001,All firms,40608,2.3,0100000US,United States,01,00000,00,Total for all sectors,7623986,7.5,00,All firms,29656222,5.8,001,All firms,001,All firms,00,002,Veteran-owned,2014,318,Firms with 2 to 3 years in business,00
39,191557,5.5,001,All firms,001,All firms,30250,3.3,0100000US,United States,01,00000,00,Total for all sectors,6502734,9.7,00,All firms,28142710,8.6,001,All firms,001,All firms,00,002,Veteran-owned,2014,319,Firms with 4 to 5 years in business,00
40,556723,6.6,001,All firms,001,All firms,70260,2.0,0100000US,United States,01,00000,00,Total for all sectors,19100590,6.3,00,All firms,75800333,6.4,001,All firms,001,All firms,00,002,Veteran-owned,2014,321,Firms with 6 to 10 years in business,00
41,2045327,3.4,001,All firms,001,All firms,221935,0.7,0100000US,United States,01,00000,00,Total for all sectors,91893464,3.4,00,All firms,423375978,5.0,001,All firms,001,All firms,00,002,Veteran-owned,2014,322,Firms with 11 to 15 years in business,00
42,1260234,6.1,001,All firms,001,All firms,14552,5.8,0100000US,United States,01,00000,00,Total for all sectors,58206771,12.9,00,All firms,351890824,9.2,001,All firms,001,All firms,00,002,Veteran-owned,2014,323,Firms with 16 or more years in business,00
43,1546873,6.0,001,All firms,001,All firms,162546,1.4,0100000US,United States,01,00000,00,Total for all sectors,52553348,5.3,00,All firms,257424204,7.3,001,All firms,001,All firms,00,003,Equally veteran-/nonveteran-owned,2014,001,All firms,00
44,52854,9.0,001,All firms,001,All firms,10724,3.3,0100000US,United States,01,00000,00,Total for all sectors,1468972,9.5,00,All firms,7999703,7.3,001,All firms,001,All firms,00,003,Equally veteran-/nonveteran-owned,2014,311,Firms with less than 2 years in business,00
45,89998,8.8,001,All firms,001,All firms,17362,4.4,0100000US,United States,01,00000,00,Total for all sectors,2408152,5.1,00,All firms,10884938,5.1,001,All firms,001,All firms,00,003,Equally veteran-/nonveteran-owned,2014,318,Firms with 2 to 3 years in business,00
46,107722,17.8,001,All firms,001,All firms,12174,6.3,0100000US,United States,01,00000,00,Total for all sectors,2746052,16.4,00,All firms,11571648,15.3,001,All firms,001,All firms,00,003,Equally veteran-/nonveteran-owned,2014,319,Firms with 4 to 5 years in business,00
47,232786,7.5,001,All firms,001,All firms,31475,2.7,0100000US,United States,01,00000,00,Total for all sectors,7777546,8.3,00,All firms,30935986,7.1,001,All firms,001,All firms,00,003,Equally veteran-/nonveteran-owned,2014,321,Firms with 6 to 10 years in business,00
48,761000,6.6,001,All firms,001,All firms,85603,2.3,0100000US,United States,01,00000,00,Total for all sectors,29352317,5.9,00,All firms,132663637,7.0,001,All firms,001,All firms,00,003,Equally veteran-/nonveteran-owned,2014,322,Firms with 11 to 15 years in business,00
49,302513,15.5,001,All firms,001,All firms,5207,5.9,0100000US,United States,01,00000,00,Total for all sectors,8800308,12.5,00,All firms,63368293,17.9,001,All firms,001,All firms,00,003,Equally veteran-/nonveteran-owned,2014,323,Firms with 16 or more years in business,00
50,49208977,0.5,001,All firms,001,All firms,4598025,0.1,0100000US,United States,01,00000,00,Total for all sectors,1943998256,0.8,00,All firms,9928215737,1.7,001,All firms,001,All firms,00,004,Nonveteran-owned,2014,001,All firms,00
51,2086316,1.7,001,All firms,001,All firms,431907,0.3,0100000US,United States,01,00000,00,Total for all sectors,60812239,2.5,00,All firms,280170189,2.0,001,All firms,001,All firms,00,004,Nonveteran-owned,2014,311,Firms with less than 2 years in business,00
52,3875668,1.1,001,All firms,001,All firms,647419,0.3,0100000US,United States,01,00000,00,Total for all sectors,110373275,1.9,00,All firms,500167707,1.5,001,All firms,001,All firms,00,004,Nonveteran-owned,2014,318,Firms with 2 to 3 years in business,00
53,3233127,1.4,001,All firms,001,All firms,459690,0.5,0100000US,United States,01,00000,00,Total for all sectors,103568470,1.2,00,All firms,436988221,1.3,001,All firms,001,All firms,00,004,Nonveteran-owned,2014,319,Firms with 4 to 5 years in business,00
54,7759047,1.3,001,All firms,001,All firms,1006058,0.2,0100000US,United States,01,00000,00,Total for all sectors,281111073,1.4,00,All firms,1186007965,1.1,001,All firms,001,All firms,00,004,Nonveteran-owned,2014,321,Firms with 6 to 10 years in business,00
55,21296792,0.8,001,All firms,001,All firms,1938205,0.1,0100000US,United States,01,00000,00,Total for all sectors,928156625,0.7,00,All firms,4316877217,1.2,001,All firms,001,All firms,00,004,Nonveteran-owned,2014,322,Firms with 11 to 15 years in business,00
56,10958029,2.4,001,All firms,001,All firms,114746,1.5,0100000US,United States,01,00000,00,Total for all sectors,459976575,2.9,00,All firms,3208004438,5.4,001,All firms,001,All firms,00,004,Nonveteran-owned,2014,323,Firms with 16 or more years in business,00
57,55170196,0.4,001,All firms,001,All firms,5165806,0.0,0100000US,United States,01,00000,00,Total for all sectors,2183424185,0.7,00,All firms,11109707885,1.4,001,All firms,001,All firms,00,096,"All firms classifiable by gender, ethnicity, race, and veteran status",2014,001,All firms,00
58,2256177,1.8,001,All firms,001,All firms,470262,0.2,0100000US,United States,01,00000,00,Total for all sectors,65826246,2.4,00,All firms,303371768,1.7,001,All firms,001,All firms,00,096,"All firms classifiable by gender, ethnicity, race, and veteran status",2014,311,Firms with less than 2 years in business,00
59,4209164,1.0,001,All firms,001,All firms,705388,0.2,0100000US,United States,01,00000,00,Total for all sectors,120405412,1.5,00,All firms,540708867,1.4,001,All firms,001,All firms,00,096,"All firms classifiable by gender, ethnicity, race, and veteran status",2014,318,Firms with 2 to 3 years in business,00
60,3532406,1.4,001,All firms,001,All firms,502113,0.3,0100000US,United States,01,00000,00,Total for all sectors,112817256,1.3,00,All firms,476702579,1.3,001,All firms,001,All firms,00,096,"All firms classifiable by gender, ethnicity, race, and veteran status",2014,319,Firms with 4 to 5 years in business,00
61,8548557,1.4,001,All firms,001,All firms,1107794,0.1,0100000US,United States,01,00000,00,Total for all sectors,307989209,1.3,00,All firms,1292744283,1.2,001,All firms,001,All firms,00,096,"All firms classifiable by gender, ethnicity, race, and veteran status",2014,321,Firms with 6 to 10 years in business,00
62,24103119,0.9,001,All firms,001,All firms,2245743,0.1,0100000US,United States,01,00000,00,Total for all sectors,1049402407,0.8,00,All firms,4872916832,1.2,001,All firms,001,All firms,00,096,"All firms classifiable by gender, ethnicity, race, and veteran status",2014,322,Firms with 11 to 15 years in business,00
63,12520775,2.0,001,All firms,001,All firms,134505,1.5,0100000US,United States,01,00000,00,Total for all sectors,526983655,2.9,00,All firms,3623263556,4.3,001,All firms,001,All firms,00,096,"All firms classifiable by gender, ethnicity, race, and veteran status",2014,323,Firms with 16 or more years in business,00
64,59959099,0.5,001,All firms,001,All firms,271976,0.9,0100000US,United States,01,00000,00,Total for all sectors,3457558805,0.5,00,All firms,21927227228,1.2,001,All firms,001,All firms,00,098,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2014,001,All firms,00
65,246628,9.9,001,All firms,001,All firms,11719,8.2,0100000US,United States,01,00000,00,Total for all sectors,13846229,20.3,00,All firms,134991437,41.8,001,All firms,001,All firms,00,098,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2014,311,Firms with less than 2 years in business,00
66,497069,7.3,001,All firms,001,All firms,18291,5.5,0100000US,United States,01,00000,00,Total for all sectors,27699299,5.9,00,All firms,112623681,5.4,001,All firms,001,All firms,00,098,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2014,318,Firms with 2 to 3 years in business,00
67,514615,8.5,001,All firms,001,All firms,17599,2.7,0100000US,United States,01,00000,00,Total for all sectors,25733694,9.7,00,All firms,90513057,7.2,001,All firms,001,All firms,00,098,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2014,319,Firms with 4 to 5 years in business,00
68,1346598,5.0,001,All firms,001,All firms,38384,1.9,0100000US,United States,01,00000,00,Total for all sectors,74844214,6.7,00,All firms,352674056,7.2,001,All firms,001,All firms,00,098,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2014,321,Firms with 6 to 10 years in business,00
69,7947869,3.2,001,All firms,001,All firms,152572,0.9,0100000US,United States,01,00000,00,Total for all sectors,387803479,4.1,00,All firms,1736385615,4.0,001,All firms,001,All firms,00,098,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2014,322,Firms with 11 to 15 years in business,00
70,49406321,0.6,001,All firms,001,All firms,33412,1.6,0100000US,United States,01,00000,00,Total for all sectors,2927631890,0.6,00,All firms,19500039383,1.2,001,All firms,001,All firms,00,098,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2014,323,Firms with 16 or more years in business,00
71,2444079,2.7,001,All firms,020,Hispanic,298563,1.2,0100000US,United States,01,00000,00,Total for all sectors,77251789,2.5,00,All firms,335160548,4.5,001,All firms,001,All firms,00,001,All firms,2014,001,All firms,00
72,160020,8.0,001,All firms,020,Hispanic,39107,2.7,0100000US,United States,01,00000,00,Total for all sectors,3986427,9.2,00,All firms,20078776,8.1,001,All firms,001,All firms,00,001,All firms,2014,311,Firms with less than 2 years in business,00
73,316112,4.2,001,All firms,020,Hispanic,56331,2.9,0100000US,United States,01,00000,00,Total for all sectors,7579817,7.0,00,All firms,34795185,5.6,001,All firms,001,All firms,00,001,All firms,2014,318,Firms with 2 to 3 years in business,00
74,251927,5.5,001,All firms,020,Hispanic,38617,3.5,0100000US,United States,01,00000,00,Total for all sectors,6582163,4.2,00,All firms,29365679,6.8,001,All firms,001,All firms,00,001,All firms,2014,319,Firms with 4 to 5 years in business,00
75,501625,4.7,001,All firms,020,Hispanic,70188,1.8,0100000US,United States,01,00000,00,Total for all sectors,14304144,6.0,00,All firms,58476836,3.4,001,All firms,001,All firms,00,001,All firms,2014,321,Firms with 6 to 10 years in business,00
76,961264,6.0,001,All firms,020,Hispanic,90112,1.4,0100000US,United States,01,00000,00,Total for all sectors,32805896,6.1,00,All firms,142997685,9.0,001,All firms,001,All firms,00,001,All firms,2014,322,Firms with 11 to 15 years in business,00
77,253132,14.8,001,All firms,020,Hispanic,4209,9.1,0100000US,United States,01,00000,00,Total for all sectors,11993342,10.5,00,All firms,49446387,24.5,001,All firms,001,All firms,00,001,All firms,2014,323,Firms with 16 or more years in business,00
78,127286,9.6,001,All firms,020,Hispanic,13769,5.6,0100000US,United States,01,00000,00,Total for all sectors,4848281,10.1,00,All firms,18669233,12.9,001,All firms,001,All firms,00,002,Veteran-owned,2014,001,All firms,00
79,21087,21.1,001,All firms,020,Hispanic,2227,11.1,0100000US,United States,01,00000,00,Total for all sectors,500273,22.9,00,All firms,1957337,23.9,001,All firms,001,All firms,00,003,Equally veteran-/nonveteran-owned,2014,001,All firms,00
80,2295706,2.8,001,All firms,020,Hispanic,282567,1.2,0100000US,United States,01,00000,00,Total for all sectors,71903235,2.5,00,All firms,314533978,4.7,001,All firms,001,All firms,00,004,Nonveteran-owned,2014,001,All firms,00
81,367676,4.0,001,All firms,028,Equally Hispanic/non-Hispanic,43758,3.7,0100000US,United States,01,00000,00,Total for all sectors,11663683,5.2,00,All firms,49880628,7.9,001,All firms,001,All firms,00,001,All firms,2014,001,All firms,00
82,26961,16.9,001,All firms,028,Equally Hispanic/non-Hispanic,5766,8.8,0100000US,United States,01,00000,00,Total for all sectors,752120,22.9,00,All firms,3309797,16.8,001,All firms,001,All firms,00,001,All firms,2014,311,Firms with less than 2 years in business,00
83,44411,12.3,001,All firms,028,Equally Hispanic/non-Hispanic,7568,8.8,0100000US,United States,01,00000,00,Total for all sectors,1211680,14.3,00,All firms,5303723,12.7,001,All firms,001,All firms,00,001,All firms,2014,318,Firms with 2 to 3 years in business,00
84,28321,15.2,001,All firms,028,Equally Hispanic/non-Hispanic,5007,7.7,0100000US,United States,01,00000,00,Total for all sectors,752224,17.6,00,All firms,3330228,13.9,001,All firms,001,All firms,00,001,All firms,2014,319,Firms with 4 to 5 years in business,00
85,96534,10.5,001,All firms,028,Equally Hispanic/non-Hispanic,10656,5.7,0100000US,United States,01,00000,00,Total for all sectors,2949599,13.0,00,All firms,10392290,10.6,001,All firms,001,All firms,00,001,All firms,2014,321,Firms with 6 to 10 years in business,00
86,139671,9.7,001,All firms,028,Equally Hispanic/non-Hispanic,14072,6.5,0100000US,United States,01,00000,00,Total for all sectors,4566297,10.7,00,All firms,20694128,10.6,001,All firms,001,All firms,00,001,All firms,2014,322,Firms with 11 to 15 years in business,00
87,0,0.0,001,All firms,028,Equally Hispanic/non-Hispanic,689,15.5,0100000US,United States,01,00000,00,Total for all sectors,0,0.0,00,All firms,0,0.0,001,All firms,001,All firms,00,001,All firms,2014,323,Firms with 16 or more years in business,00
88,644,41.0,001,All firms,028,Equally Hispanic/non-Hispanic,160,48.8,0100000US,United States,01,00000,00,Total for all sectors,13902,42.4,00,All firms,62766,48.9,001,All firms,001,All firms,00,002,Veteran-owned,2014,001,All firms,00
89,57226,18.5,001,All firms,028,Equally Hispanic/non-Hispanic,6774,6.6,0100000US,United States,01,00000,00,Total for all sectors,1607495,24.3,00,All firms,6087303,18.0,001,All firms,001,All firms,00,003,Equally veteran-/nonveteran-owned,2014,001,All firms,00
90,309805,5.9,001,All firms,028,Equally Hispanic/non-Hispanic,36823,4.3,0100000US,United States,01,00000,00,Total for all sectors,10042286,7.2,00,All firms,43730559,9.1,001,All firms,001,All firms,00,004,Nonveteran-owned,2014,001,All firms,00
91,52358442,0.4,001,All firms,029,Non-Hispanic,4823485,0.1,0100000US,United States,01,00000,00,Total for all sectors,2094508713,0.7,00,All firms,10724666709,1.4,001,All firms,001,All firms,00,001,All firms,2014,001,All firms,00
92,2069196,1.7,001,All firms,029,Non-Hispanic,425389,0.3,0100000US,United States,01,00000,00,Total for all sectors,61087699,2.6,00,All firms,279983194,2.0,001,All firms,001,All firms,00,001,All firms,2014,311,Firms with less than 2 years in business,00
93,3848640,1.2,001,All firms,029,Non-Hispanic,641490,0.3,0100000US,United States,01,00000,00,Total for all sectors,111613916,1.8,00,All firms,500609958,1.4,001,All firms,001,All firms,00,001,All firms,2014,318,Firms with 2 to 3 years in business,00
94,3252157,1.5,001,All firms,029,Non-Hispanic,458489,0.4,0100000US,United States,01,00000,00,Total for all sectors,105482869,1.4,00,All firms,444006672,1.1,001,All firms,001,All firms,00,001,All firms,2014,319,Firms with 4 to 5 years in business,00
95,7950399,1.4,001,All firms,029,Non-Hispanic,1026950,0.2,0100000US,United States,01,00000,00,Total for all sectors,290735467,1.3,00,All firms,1223875157,1.2,001,All firms,001,All firms,00,001,All firms,2014,321,Firms with 6 to 10 years in business,00
96,23002184,0.9,001,All firms,029,Non-Hispanic,2141559,0.1,0100000US,United States,01,00000,00,Total for all sectors,1012030214,0.7,00,All firms,4709225019,1.2,001,All firms,001,All firms,00,001,All firms,2014,322,Firms with 11 to 15 years in business,00
97,12235866,2.0,001,All firms,029,Non-Hispanic,129608,1.6,0100000US,United States,01,00000,00,Total for all sectors,513558547,3.0,00,All firms,3566966708,4.2,001,All firms,001,All firms,00,001,All firms,2014,323,Firms with 16 or more years in business,00
98,4286416,2.2,001,All firms,029,Non-Hispanic,391306,0.7,0100000US,United States,01,00000,00,Total for all sectors,182010397,4.6,00,All firms,905335944,4.5,001,All firms,001,All firms,00,002,Veteran-owned,2014,001,All firms,00
99,1468560,6.7,001,All firms,029,Non-Hispanic,153544,1.4,0100000US,United States,01,00000,00,Total for all sectors,50445580,5.7,00,All firms,249379564,7.7,001,All firms,001,All firms,00,003,Equally veteran-/nonveteran-owned,2014,001,All firms,00
100,46603466,0.4,001,All firms,029,Non-Hispanic,4278635,0.1,0100000US,United States,01,00000,00,Total for all sectors,1862052736,0.8,00,All firms,9569951200,1.7,001,All firms,001,All firms,00,004,Nonveteran-owned,2014,001,All firms,00
101,55170196,0.4,001,All firms,096,"All firms classifiable by gender, ethnicity, race, and veteran status",5165806,0.0,0100000US,United States,01,00000,00,Total for all sectors,2183424185,0.7,00,All firms,11109707885,1.4,001,All firms,001,All firms,00,001,All firms,2014,001,All firms,00
102,2256177,1.8,001,All firms,096,"All firms classifiable by gender, ethnicity, race, and veteran status",470262,0.2,0100000US,United States,01,00000,00,Total for all sectors,65826246,2.4,00,All firms,303371768,1.7,001,All firms,001,All firms,00,001,All firms,2014,311,Firms with less than 2 years in business,00
103,4209164,1.0,001,All firms,096,"All firms classifiable by gender, ethnicity, race, and veteran status",705388,0.2,0100000US,United States,01,00000,00,Total for all sectors,120405412,1.5,00,All firms,540708867,1.4,001,All firms,001,All firms,00,001,All firms,2014,318,Firms with 2 to 3 years in business,00
104,3532406,1.4,001,All firms,096,"All firms classifiable by gender, ethnicity, race, and veteran status",502113,0.3,0100000US,United States,01,00000,00,Total for all sectors,112817256,1.3,00,All firms,476702579,1.3,001,All firms,001,All firms,00,001,All firms,2014,319,Firms with 4 to 5 years in business,00
105,8548557,1.4,001,All firms,096,"All firms classifiable by gender, ethnicity, race, and veteran status",1107794,0.1,0100000US,United States,01,00000,00,Total for all sectors,307989209,1.3,00,All firms,1292744283,1.2,001,All firms,001,All firms,00,001,All firms,2014,321,Firms with 6 to 10 years in business,00
106,24103119,0.9,001,All firms,096,"All firms classifiable by gender, ethnicity, race, and veteran status",2245743,0.1,0100000US,United States,01,00000,00,Total for all sectors,1049402407,0.8,00,All firms,4872916832,1.2,001,All firms,001,All firms,00,001,All firms,2014,322,Firms with 11 to 15 years in business,00
107,12520775,2.0,001,All firms,096,"All firms classifiable by gender, ethnicity, race, and veteran status",134505,1.5,0100000US,United States,01,00000,00,Total for all sectors,526983655,2.9,00,All firms,3623263556,4.3,001,All firms,001,All firms,00,001,All firms,2014,323,Firms with 16 or more years in business,00
108,59959099,0.5,001,All firms,098,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",271976,0.9,0100000US,United States,01,00000,00,Total for all sectors,3457558805,0.5,00,All firms,21927227228,1.2,001,All firms,001,All firms,00,001,All firms,2014,001,All firms,00
